,MouseID,Tissue,Treatment,Age,Class,Frequency
133,JW22-LF,L,SS31,Old,Total_SNV_Freq,4.67801190343584e-06
134,JW22-NP,L,SS31,Old,Total_SNV_Freq,3.70403985389461e-06
135,JW55-RB,L,SS31,Old,Total_SNV_Freq,4.90556400053138e-06
136,JW21-NP,M,SS31,Old,Total_SNV_Freq,1.44220862648415e-06
137,JW21-R,M,SS31,Old,Total_SNV_Freq,1.73811161792313e-06
138,JW22-LF,M,SS31,Old,Total_SNV_Freq,1.79541537848238e-06
139,JW22-NP,M,SS31,Old,Total_SNV_Freq,1.93227932985127e-06
140,JW55-RB,M,SS31,Old,Total_SNV_Freq,1.62275808217155e-06
141,JW21-NP,R,SS31,Old,Total_SNV_Freq,4.08555085117345e-06
142,JW21-R,R,SS31,Old,Total_SNV_Freq,3.39237733129963e-06
143,JW22-LF,R,SS31,Old,Total_SNV_Freq,2.44865047667006e-06
144,JW22-NP,R,SS31,Old,Total_SNV_Freq,2.86589121165596e-06
145,JW55-RB,R,SS31,Old,Total_SNV_Freq,2.78516558263285e-06
146,JW27-LB,C,NMN,Old,Total_SNV_Freq,2.30855216107305e-06
147,JW29-R,C,NMN,Old,Total_SNV_Freq,2.14197629976073e-06
148,JW30-LF,C,NMN,Old,Total_SNV_Freq,2.04926821278023e-06
149,JW27-LB,RC,NMN,Old,Total_SNV_Freq,4.41674747947669e-06
150,JW29-R,RC,NMN,Old,Total_SNV_Freq,4.44692806769898e-06
151,JW30-LF,RC,NMN,Old,Total_SNV_Freq,3.62543700123086e-06
152,JW27-LB,He,NMN,Old,Total_SNV_Freq,1.18965401730508e-06
153,JW29-R,He,NMN,Old,Total_SNV_Freq,1.44353329409282e-06
154,JW30-LF,He,NMN,Old,Total_SNV_Freq,1.45317334672793e-06
155,JW27-LB,Hi,NMN,Old,Total_SNV_Freq,3.154389342934e-06
156,JW29-R,Hi,NMN,Old,Total_SNV_Freq,3.16084333094344e-06
157,JW30-LF,Hi,NMN,Old,Total_SNV_Freq,2.80972698778973e-06
158,JW27-LB,K,NMN,Old,Total_SNV_Freq,7.51476812861092e-06
159,JW29-R,K,NMN,Old,Total_SNV_Freq,6.31208045662812e-06
160,JW30-LF,K,NMN,Old,Total_SNV_Freq,5.62562634752634e-06
161,JW27-LB,L,NMN,Old,Total_SNV_Freq,3.44061584744878e-06
162,JW29-R,L,NMN,Old,Total_SNV_Freq,4.00655943808704e-06
163,JW30-LF,L,NMN,Old,Total_SNV_Freq,4.46590002297416e-06
164,JW27-LB,M,NMN,Old,Total_SNV_Freq,1.7023398015009e-06
165,JW29-R,M,NMN,Old,Total_SNV_Freq,1.74035689290717e-06
166,JW30-LF,M,NMN,Old,Total_SNV_Freq,1.64111619350509e-06
167,JW27-LB,R,NMN,Old,Total_SNV_Freq,2.58698476231304e-06
168,JW29-R,R,NMN,Old,Total_SNV_Freq,3.02119647414012e-06
169,JW30-LF,R,NMN,Old,Total_SNV_Freq,3.16892395371508e-06
170,YM13-MS,C,NT,Young,Total_InDel_Freq,2.5731511963793e-07
171,YM14-MS,C,NT,Young,Total_InDel_Freq,1.8481153417315e-07
172,YM3-MS,C,NT,Young,Total_InDel_Freq,8.097731711553e-08
173,YM5-MS,C,NT,Young,Total_InDel_Freq,7.84927169159e-08
174,YM7-MS,C,NT,Young,Total_InDel_Freq,3.1067575082562e-07
175,YM13-MS,RC,NT,Young,Total_InDel_Freq,1.3465072804922e-07
176,YM14-MS,RC,NT,Young,Total_InDel_Freq,1.7072413965728e-07
177,YM3-MS,RC,NT,Young,Total_InDel_Freq,1.6089378047204e-07
178,YM5-MS,RC,NT,Young,Total_InDel_Freq,2.970626142062e-07
179,YM7-MS,RC,NT,Young,Total_InDel_Freq,2.0979337560854e-07
180,YM13-MS,He,NT,Young,Total_InDel_Freq,2.8454614057265e-07
181,YM14-MS,He,NT,Young,Total_InDel_Freq,7.806193530744e-08
182,YM3-MS,He,NT,Young,Total_InDel_Freq,1.0237409591396e-07
183,YM5-MS,He,NT,Young,Total_InDel_Freq,9.601419108947e-08
184,YM7-MS,He,NT,Young,Total_InDel_Freq,1.5281594077328e-07
